Movies watched: 24
Movie start: 0, end: 1, category: 24
Movie start: 1, end: 2, category: 25
Movie start: 2, end: 3, category: 4
Movie start: 3, end: 4, category: 5
Movie start: 4, end: 5, category: 6
Movie start: 5, end: 6, category: 21
Movie start: 6, end: 7, category: 18
Movie start: 7, end: 8, category: 17
Movie start: 8, end: 9, category: 21
Movie start: 9, end: 10, category: 13
Movie start: 10, end: 11, category: 2
Movie start: 11, end: 12, category: 19
Movie start: 12, end: 13, category: 1
Movie start: 13, end: 14, category: 25
Movie start: 14, end: 15, category: 11
Movie start: 15, end: 16, category: 3
Movie start: 16, end: 17, category: 5
Movie start: 17, end: 18, category: 21
Movie start: 18, end: 19, category: 2
Movie start: 19, end: 20, category: 17
Movie start: 20, end: 21, category: 10
Movie start: 21, end: 22, category: 18
Movie start: 22, end: 23, category: 16
Movie start: 23, end: 24, category: 14
Time elapsed during the greedy algorithm: 1966 microseconds
